STE_NAME21,CENTROID_LON,CENTROID_LAT
Australian Capital Territory,149.00250082712492,-35.488696476840154
New South Wales,150.39576073576106,-33.240315900713945
Northern Territory,132.23853759809953,-15.976743868248095
Other Territories,128.3106591131534,-20.76026784849828
Queensland,150.89304271241397,-25.666153505242935
South Australia,138.33428845600227,-34.07371778024154
Tasmania,146.80982755609872,-42.11327045684136
Victoria,144.78072835761262,-37.47998463969504
Western Australia,117.50467990063123,-30.628737192729126
